FID,ROAD_ID,ROADWAY,RD_STATUS,NUMSECTION,COUNTY,SECTION_,BEGIN_POST,END_POST,RTLENGTH,HIGHMEASUR,SHAPE_Leng,DISTRICT,COUNTYDOT,COUNTYNM,MNG_DIST,Shape__Length
16,93000275,93000275,09,3,93,000275,0,1.194,1.194,1.194,1921.1686,4,93,Palm Beach,4,1921.16864653728
17,93900285,93900285,16,1,93,900285,0,0.062,0.061,0.062,97.9044,4,93,Palm Beach,4,97.9044375553492
18,89000036,89000036,09,6,89,000036,0,3.212,3.213,3.212,5170.6771,4,89,Martin,4,5170.67706961639
19,77000240,77000240,09,5,77,000240,0,0.856,0.855,0.856,1375.4108,5,77,Seminole,5,1375.41075109205
20,93900329,93900329,16,3,93,900329,0,0.58,0.586,0.58,943.275,4,93,Palm Beach,4,943.275008116076
21,93900294,93900294,16,1,93,900294,0,0.508,0.507,0.508,816.5809,4,93,Palm Beach,4,816.580910820911
22,93900280,93900280,16,1,93,900280,0,0.062,0.061,0.062,97.91,4,93,Palm Beach,4,97.9099648099853
23,93900295,93900295,16,1,93,900295,0,0.506,0.506,0.506,815.0743,4,93,Palm Beach,4,815.07433044275
24,93900283,93900283,16,2,93,900283,0,0.553,0.553,0.553,890.4267,4,93,Palm Beach,4,890.426698194068
25,93900282,93900282,16,1,93,900282,0,0.051,0.05,0.051,80.3843,4,93,Palm Beach,4,80.3843100502208
26,93900325,93900325,16,1,93,900325,0,0.151,0.151,0.151,242.9431,4,93,Palm Beach,4,242.943140908762
27,89095028,89095028,07,1,89,095028,0,0.338,0.3356,0.338,540.1713,4,89,Martin,4,540.171309753751
28,89095029,89095029,07,1,89,095029,0,0.271,0.2729,0.271,439.1601,4,89,Martin,4,439.160096636407
29,94000131,94000131,09,1,94,000131,0,0.748,0.749,0.748,1205.4354,4,94,St. Lucie,4,1205.4354236683
30,35090001,35090001,07,2,35,090001,0,0.234,0.2312,0.234,372.0549,2,35,Madison,2,372.054939523097
31,35090002,35090002,07,2,35,090002,0,0.248,0.2505,0.248,403.2052,2,35,Madison,2,403.205223486188
32,35090003,35090003,07,2,35,090003,0,0.245,0.2476,0.245,398.5433,2,35,Madison,2,398.543348595287
33,94070000,94070000,12,21,94,070000,0,21.869,21.867,21.869,35191.3872,4,94,St. Lucie,4,35191.3872178565
34,15000428,15000428,09,2,15,000428,0,0.217,0.217,0.217,348.9413,7,15,Pinellas,7,348.941266544147
35,35090010,35090010,07,2,35,090010,0,0.224,0.2215,0.224,356.5368,2,35,Madison,2,356.536772689334
36,35090011,35090011,07,2,35,090011,0,0.242,0.2438,0.242,392.3963,2,35,Madison,2,392.396271360016
37,35090013,35090013,07,2,35,090013,0,0.183,0.1813,0.183,291.7123,2,35,Madison,2,291.712297158636
38,93000178,93000178,09,3,93,000178,0,0.686,0.688,0.686,1106.9402,4,93,Palm Beach,4,1106.94021999405
39,89502001,89502001,09,3,89,502001,0,0.355,0.358,0.355,575.91,4,89,Martin,4,575.910002277968
40,35090021,35090021,07,2,35,090021,0,0.193,0.1906,0.193,306.7427,2,35,Madison,2,306.742659386783
41,35090023,35090023,07,2,35,090023,0,0.309,0.3069,0.309,493.8436,2,35,Madison,2,493.843601429424
42,35090024,35090024,07,2,35,090024,0,0.193,0.1901,0.193,305.9886,2,35,Madison,2,305.988582121042
43,35090026,35090026,07,2,35,090026,0,0.312,0.3093,0.312,497.7488,2,35,Madison,2,497.74879975213
44,29070000,29070000,12,19,29,070000,0.061,32.016,31.942,32.016,51405.2886,2,29,Columbia,2,51405.2886053199
45,36000114,36000114,09,2,36,000114,0,1.034,1.044,1.034,1680.0479,5,36,Marion,5,1680.04786814417
46,90505059,90505059,09,1,90,505059,0,0.096,0.1017,0.096,163.6416,6,90,Monroe,6,163.641618924756
47,75000225,75000225,09,7,75,000225,0,3.184,3.19,3.184,5133.4132,5,75,Orange,5,5133.41320013871
48,75000106,75000106,09,4,75,000106,0,1.01,1.004,1.01,1616.4792,5,75,Orange,5,1616.47924040409
49,46560003,46560003,09,1,46,560003,0,0.505,0.512,0.505,824.5576,3,46,Bay,3,824.557582479568
50,8590000,08590000,09,3,08,590000,0,4.447,4.448,4.447,7158.4408,7,08,Hernando,7,7158.44079722092
51,34650000,34650000,09,1,34,650000,0,3.344,3.345,3.344,5383.2322,2,34,Levy,2,5383.23220176435
52,46655001,46655001,09,1,46,655001,0,0.146,0.146,0.146,235.5457,3,46,Bay,3,235.54570488577
53,26260023,26260023,07,2,26,260023,0,0.234,0.234,0.234,377.1871,2,26,Alachua,2,377.187131357762
54,34504000,34504000,09,2,34,504000,0,3.582,3.581,3.582,5763.8201,2,34,Levy,2,5763.82008025344
55,93000162,93000162,09,2,93,000162,0,1.02,1.032,1.02,1660.23,4,93,Palm Beach,4,1660.22995942203
56,29570000,29570000,09,2,29,570000,0,9.48,9.48,9.48,15256.1582,2,29,Columbia,2,15256.1582075623
57,14502000,14502000,09,3,14,502000,0,2.941,2.967,2.941,4775.4237,7,14,Pasco,7,4775.42371628436
58,86070021,86070021,07,2,86,070021,0,0.258,0.259,0.258,416.484,4,86,Broward,4,416.483984482191
59,86900185,86900185,16,2,86,900185,0,0.681,0.681,0.681,1096.0106,4,86,Broward,4,1096.01059927617
60,77000055,77000055,09,2,77,000055,0,0.53,0.53,0.53,853.5989,5,77,Seminole,5,853.598895873336
61,86900184,86900184,16,2,86,900184,0,0.684,0.684,0.684,1100.4583,4,86,Broward,4,1100.45827138309
62,47000029,47000029,09,1,47,000029,0,1.974,1.97,1.974,3170.7252,3,47,Calhoun,3,3170.72522528567
63,46000026,46000026,09,3,46,000026,0,4.2,4.188,4.2,6739.8917,3,46,Bay,3,6739.89169921036
64,47900015,47900015,16,3,47,900015,0,0.735,0.734,0.735,1181.3324,3,47,Calhoun,3,1181.33240204495
65,79182000,79182000,09,2,79,182000,0,3.796,3.801,3.796,6117.2941,5,79,Volusia,5,6117.29406941363
66,29180036,29180036,07,2,29,180036,0,0.17,0.167,0.17,268.4432,2,29,Columbia,2,268.443195174494
67,33503000,33503000,09,1,33,503000,0,1.059,1.0567,1.059,1700.5507,2,33,Lafayette,2,1700.55065093422
68,33504000,33504000,09,1,33,504000,0,1.556,1.5568,1.556,2505.4431,2,33,Lafayette,2,2505.44311950728
69,75340013,75340013,07,1,75,340013,0,0.277,0.277,0.277,445.4864,5,75,Orange,5,445.486445106248
70,33506000,33506000,09,2,33,506000,0,2.141,2.1424,2.141,3447.9081,2,33,Lafayette,2,3447.90812900244
71,33506001,33506001,09,1,33,506001,0,2.605,2.6031,2.605,4189.2342,2,33,Lafayette,2,4189.2342137779
72,33510000,33510000,09,2,33,510000,0,7.818,7.8056,7.818,12561.8627,2,33,Lafayette,2,12561.8627347918
73,33517001,33517001,09,1,33,517001,0,1.581,1.5822,1.581,2546.2756,2,33,Lafayette,2,2546.27556597774
74,33900004,33900004,16,1,33,900004,0,2.002,2.002,2.002,3222.1557,2,33,Lafayette,2,3222.15573956585
75,33523001,33523001,09,1,33,523001,0,1.507,1.5069,1.507,2425.0411,2,33,Lafayette,2,2425.04108627087
76,77470005,77470005,07,2,77,470005,0,0.292,0.293,0.292,471.4883,5,77,Seminole,8,471.48833157534
77,77000243,77000243,09,1,77,000243,0,0.821,0.82,0.821,1319.6915,5,77,Seminole,5,1319.69152783581
78,33516000,33516000,09,1,33,516000,0,0.786,0.7863,0.786,1265.3543,2,33,Lafayette,2,1265.35425113035
79,77000085,77000085,09,10,77,000085,0,5.677,5.679,5.677,9139.0145,5,77,Seminole,5,9139.01447339765
80,77470030,77470030,07,1,77,470030,0,0.378,0.38,0.378,612.2422,5,77,Seminole,8,612.242243343334
81,77000250,77000250,09,4,77,000250,0,1.423,1.422,1.423,2288.6518,5,77,Seminole,5,2288.65179434824
82,36000136,36000136,09,3,36,000136,0,1.512,1.51,1.512,2430.6555,5,36,Marion,5,2430.65545891253
83,33550000,33550000,09,1,33,550000,0,3.838,3.838,3.838,6176.6928,2,33,Lafayette,2,6176.69276069063
84,48000132,48000132,09,1,48,000132,0,1.955,1.965,1.955,3162.0484,3,48,Escambia,3,3162.0484239726
85,34000004,34000004,09,2,34,000004,0,2.5,2.508,2.5,4036.0355,2,34,Levy,2,4036.03552985444
86,88000034,88000034,09,1,88,000034,0,0.241,0.239,0.241,385.0894,4,88,Indian River,4,385.089363783819
87,89095015,89095015,07,1,89,095015,0,0.311,0.3136,0.311,504.6318,4,89,Martin,4,504.631827104079
88,89095011,89095011,07,2,89,095011,0,0.361,0.3613,0.361,581.4773,4,89,Martin,4,581.477341566589
89,89095006,89095006,07,2,89,095006,0,0.389,0.3885,0.389,625.2929,4,89,Martin,4,625.292943104087
90,89095016,89095016,07,2,89,095016,0,0.419,0.4192,0.419,674.6711,4,89,Martin,4,674.671129942064
91,89095018,89095018,07,1,89,095018,0,0.262,0.2621,0.262,421.8019,4,89,Martin,4,421.801932448544
92,89095020,89095020,07,2,89,095020,0,0.355,0.3553,0.355,571.7697,4,89,Martin,4,571.769661168996
93,89095022,89095022,07,2,89,095022,0,0.36,0.361,0.36,580.932,4,89,Martin,4,580.932024815423
94,93000301,93000301,09,3,93,000301,0,0.993,0.995,0.993,1601.2456,4,93,Palm Beach,4,1601.24557322086
95,93000268,93000268,09,3,93,000268,0,1.5,1.5,1.5,2414.4169,4,93,Palm Beach,4,2414.41690807328
96,93000259,93000259,09,3,93,000259,0,1.679,1.682,1.679,2706.3239,4,93,Palm Beach,4,2706.32392043383
97,36000120,36000120,09,1,36,000120,0,0.533,0.534,0.533,858.6139,5,36,Marion,5,858.613877109698
98,34500002,34500002,09,2,34,500002,0,0.354,0.3569,0.354,574.4081,2,34,Levy,2,574.408069519066
99,56000006,56000006,09,1,56,000006,0,5.166,5.171,5.166,8322.6848,3,56,Liberty,3,8322.68479122615
100,56000005,56000005,09,3,56,000005,0,10.79,10.799,10.79,17379.7084,3,56,Liberty,3,17379.7083878309
101,57900011,57900011,16,3,57,900011,0,0.343,0.348,0.343,559.9501,3,57,Okaloosa,3,559.95009967039
102,55519000,55519000,09,4,55,519000,0,1.674,1.674,1.674,2693.2913,3,55,Leon,3,2693.29130925227
103,61501003,61501003,09,2,61,501003,0,0.357,0.357,0.357,573.8112,3,61,Washington,3,573.811169181174
104,46110001,46110001,12,1,46,110001,2.243,3.197,0.935,3.197,1504.9596,3,46,Bay,3,1504.95959865002
105,75000176,75000176,09,7,75,000176,0,1.727,1.727,1.727,2779.3395,5,75,Orange,5,2779.3394949295
106,14000060,14000060,09,2,14,000060,0,2.265,2.269,2.265,3650.8369,7,14,Pasco,7,3650.8369325092
107,15520000,15520000,09,11,15,520000,0,5.168,5.16,5.168,8303.5933,7,15,Pinellas,7,8303.5933352398
108,15000334,15000334,09,1,15,000334,0,0.38,0.379,0.38,609.1523,7,15,Pinellas,7,609.152322865283
109,75000471,75000471,09,2,75,000471,0,0.189,0.189,0.189,303.8311,5,75,Orange,5,303.831082922494
110,47506001,47506001,09,1,47,506001,0,0.995,0.9987,0.995,1607.2308,3,47,Calhoun,3,1607.23076101693
111,93561000,93561000,09,3,93,561000,0,1.41,1.411,1.41,2270.0057,4,93,Palm Beach,4,2270.00570651859
112,34537000,34537000,09,1,34,537000,0,3.045,3.041,3.045,4893.7089,2,34,Levy,2,4893.70887941508
113,14070000,14070000,02,5,14,070000,0,8.183,8.164,8.183,13138.0494,7,14,Pasco,7,13138.0493963897
114,93587000,93587000,09,1,93,587000,0,0.292,0.292,0.292,469.9943,4,93,Palm Beach,4,469.994287198658
115,8610000,08610000,09,1,08,610000,0,7.261,7.261,7.261,11685.3747,7,08,Hernando,7,11685.3747252082
116,53710000,53710000,09,2,53,710000,0,2.205,2.213,2.205,3562.1571,3,53,Jackson,3,3562.15710771729
117,72040345,72040345,02,5,72,040345,0,0.677,0.688,0.677,1107.985,2,72,Duval,2,1107.98496791315
118,72000290,72000290,09,2,72,000290,0,0.313,0.313,0.313,504.1288,2,72,Duval,2,504.128846870275
119,46560007,46560007,09,1,46,560007,0,0.326,0.339,0.326,545.0691,3,46,Bay,3,545.06910005026
120,35090005,35090005,07,2,35,090005,0,0.253,0.2552,0.253,410.733,2,35,Madison,2,410.733000267541
121,94000068,94000068,09,2,94,000068,0,3.397,3.399,3.397,5469.5779,4,94,St. Lucie,4,5469.57793215611
122,46000076,46000076,09,1,46,000076,0,0.524,0.525,0.524,844.3742,3,46,Bay,3,844.374175005006
123,46000078,46000078,09,2,46,000078,0,1.134,1.138,1.134,1831.1506,3,46,Bay,3,1831.15056944771
124,46000079,46000079,09,1,46,000079,0,0.341,0.343,0.341,551.573,3,46,Bay,3,551.573038053828
125,90580005,90580005,09,1,90,580005,0,0.551,0.5454,0.551,877.8045,6,90,Monroe,6,877.804541825312
126,36000025,36000025,09,5,36,000025,0,2,1.991,2,3204.9309,5,36,Marion,5,3204.93090889861
127,8000037,08000037,12,1,08,000037,0,3.23,3.226,3.23,5191.755,7,08,Hernando,7,5191.75499201948
128,36523000,36523000,09,5,36,523000,0,1.099,1.108,1.099,1783.5561,5,36,Marion,5,1783.55610068641
129,36000021,36000021,09,6,36,000021,0,2.256,2.25,2.256,3621.4622,5,36,Marion,5,3621.46218831783
130,36000151,36000151,09,3,36,000151,0,0.953,0.953,0.953,1533.2738,5,36,Marion,5,1533.27381202343
131,36004000,36004000,02,19,36,004000,0,7.213,7.224,7.213,11625.9708,5,36,Marion,5,11625.9707809166
132,36600001,36600001,09,9,36,600001,0,2.688,2.688,2.688,4326.573,5,36,Marion,5,4326.57302977503
133,36000118,36000118,09,7,36,000118,0,2.924,2.927,2.924,4710.8637,5,36,Marion,5,4710.86370373363
134,36000082,36000082,09,7,36,000082,0,0.887,0.887,0.887,1427.372,5,36,Marion,5,1427.37202719462
135,36000018,36000018,09,4,36,000018,0,1.428,1.425,1.428,2293.3363,5,36,Marion,5,2293.33626289276
136,75008178,75008178,07,2,75,008178,0,0.248,0.248,0.248,398.8884,5,75,Orange,5,398.888386533125
137,90610500,90610500,09,1,90,610500,0,0.524,0.524,0.524,843.3216,6,90,Monroe,6,843.321610409222
138,93220065,93220065,07,1,93,220065,0,0.263,0.261,0.263,420.2581,4,93,Palm Beach,4,420.258061302527
139,75000093,75000093,09,8,75,000093,0,1.358,1.357,1.358,2184.5921,5,75,Orange,5,2184.59210716613
140,75008177,75008177,07,1,75,008177,0,0.278,0.278,0.278,447.2515,5,75,Orange,5,447.25152874998
141,36110500,36110500,02,1,36,110500,0,0.358,0.358,0.358,576.0727,5,36,Marion,5,576.072680366105
142,36657002,36657002,09,3,36,657002,0,0.305,0.307,0.305,493.7183,5,36,Marion,5,493.718259931617
143,36000133,36000133,09,7,36,000133,0,1.821,1.819,1.821,2927.6107,5,36,Marion,5,2927.61072273692
144,61632000,61632000,09,1,61,632000,0,0.993,0.991,0.993,1594.5645,3,61,Washington,3,1594.56448638479
145,15000005,15000005,09,3,15,000005,0,2.369,2.373,2.369,3818.9707,7,15,Pinellas,7,3818.97067083705
146,12000215,12000215,09,6,12,000215,0,5.366,5.372,5.366,8646.0412,1,12,Lee,1,8646.0411776789
147,49000014,49000014,09,1,49,000014,0,8.237,8.241,8.237,13262.4958,3,49,Franklin,3,13262.4957828537
148,10000276,10000276,09,6,10,000276,0,1.481,1.48,1.481,2381.6856,7,10,Hillsborough,7,2381.68556309103
149,15000187,15000187,09,3,15,000187,0,2.465,2.461,2.465,3960.0726,7,15,Pinellas,7,3960.07262859935
150,74160014,74160014,07,2,74,160014,0,0.154,0.15,0.154,241.3935,2,74,Nassau,2,241.393530685791
151,74160008,74160008,07,2,74,160008,0,0.352,0.3508,0.352,564.5934,2,74,Nassau,2,564.593394335678
152,74040001,74040001,02,1,74,040001,0,0.538,0.5382,0.538,866.1546,2,74,Nassau,2,866.154589955128
153,74160007,74160007,07,2,74,160007,0,0.242,0.2422,0.242,389.8291,2,74,Nassau,2,389.829126057572
154,74160009,74160009,07,1,74,160009,0,0.47,0.4692,0.47,755.0551,2,74,Nassau,2,755.055096600248
155,74160010,74160010,07,1,74,160010,0,0.469,0.4712,0.469,758.34,2,74,Nassau,2,758.339983698215
156,74160015,74160015,07,4,74,160015,0,0.771,0.7712,0.771,1241.1055,2,74,Nassau,2,1241.10546980171
157,74160016,74160016,07,4,74,160016,0,0.782,0.7688,0.782,1237.2012,2,74,Nassau,2,1237.20123463144
158,89000037,89000037,09,3,89,000037,0,1.023,1.028,1.023,1654.5199,4,89,Martin,4,1654.51985323058
159,89000058,89000058,09,10,89,000058,0,2.352,2.36,2.352,3797.2552,4,89,Martin,4,3797.25519153491
160,14000117,14000117,09,3,14,000117,0,2.078,2.076,2.078,3340.8401,7,14,Pasco,7,3340.8400669654
161,15000270,15000270,09,3,15,000270,0,1.115,1.12,1.115,1802.4834,7,15,Pinellas,7,1802.48335508238
162,46000084,46000084,09,1,46,000084,0,0.128,0.128,0.128,206.0537,3,46,Bay,3,206.05371682352
163,94000117,94000117,09,3,94,000117,0,1.153,1.155,1.153,1858.2575,4,94,St. Lucie,4,1858.25751384445
164,55320043,55320043,07,3,55,320043,0,0.287,0.493,0.287,793.4254,3,55,Leon,3,793.425443108403
165,29110000,29110000,02,1,29,110000,0,0.837,0.8463,0.837,1362.051,2,29,Columbia,2,1362.05097759167
166,29180033,29180033,07,2,29,180033,0,0.169,0.169,0.169,272.01,2,29,Columbia,2,272.00998063017
167,93900284,93900284,16,2,93,900284,0,0.299,0.297,0.299,478.7632,4,93,Palm Beach,4,478.763229976919
168,29180038,29180038,07,2,29,180038,0,0.185,0.185,0.185,297.4226,2,29,Columbia,2,297.422610380939
169,29180039,29180039,07,2,29,180039,0,0.173,0.175,0.173,282.0782,2,29,Columbia,2,282.078205113648
170,29180040,29180040,07,2,29,180040,0,0.13,0.13,0.13,208.5473,2,29,Columbia,2,208.54726050368
171,89000019,89000019,09,3,89,000019,0,0.228,0.228,0.228,367.1786,4,89,Martin,4,367.178574906941
172,29180034,29180034,07,2,29,180034,0,0.158,0.155,0.158,249.7587,2,29,Columbia,2,249.75874789884
173,15540000,15540000,09,2,15,540000,0,0.249,0.249,0.249,401.2628,7,15,Pinellas,7,401.262808460669
174,29180041,29180041,07,2,29,180041,0,0.168,0.167,0.168,269.1296,2,29,Columbia,2,269.1296311422
175,93584000,93584000,09,2,93,584000,0,1.084,1.085,1.084,1745.5754,4,93,Palm Beach,4,1745.57538664689
176,93900281,93900281,16,1,93,900281,0,0.053,0.054,0.053,87.2704,4,93,Palm Beach,4,87.270409996367
177,75921000,75921000,16,2,75,921000,0,0.416,0.414,0.416,666.8314,5,75,Orange,5,666.831359045456
178,93000090,93000090,09,2,93,000090,0,0.802,0.809,0.802,1301.9994,4,93,Palm Beach,4,1301.99944701786
179,89000046,89000046,09,1,89,000046,0,1.073,1.074,1.073,1727.6738,4,89,Martin,4,1727.67381342799
180,75000411,75000411,09,2,75,000411,0,0.124,0.125,0.124,200.8634,5,75,Orange,5,200.863354271979
181,93900296,93900296,16,1,93,900296,0,0.506,0.506,0.506,814.6894,4,93,Palm Beach,4,814.689405676432
182,93900330,93900330,16,2,93,900330,0,0.495,0.493,0.495,794.2042,4,93,Palm Beach,4,794.204225603488
183,79000060,79000060,09,2,79,000060,0,0.474,0.475,0.474,764.9279,5,79,Volusia,5,764.927933500101
184,93577000,93577000,09,8,93,577000,0.38,4.395,4.019,4.395,6468.0854,4,93,Palm Beach,4,6468.08543718426
185,79000061,79000061,09,2,79,000061,0,0.459,0.461,0.459,742.1271,5,79,Volusia,5,742.127100241171
186,79000082,79000082,09,3,79,000082,0,0.883,0.875,0.883,1408.7353,5,79,Volusia,5,1408.73532699497
187,34030101,34030101,02,1,34,030101,0,0.067,0.067,0.067,107.3311,2,34,Levy,2,107.331117749547
188,34050001,34050001,07,1,34,050001,0,0.104,0.104,0.104,166.7633,2,34,Levy,2,166.763298608576
189,93270000,93270000,02,6,93,270000,0,2.008,2.001,2.008,3220.6895,4,93,Palm Beach,4,3220.68948263412
190,29512000,29512000,09,1,29,512000,0,1.692,1.6931,1.692,2724.8547,2,29,Columbia,2,2724.85468777664
191,48000092,48000092,09,1,48,000092,0,2.815,2.827,2.815,4550.0475,3,48,Escambia,3,4550.04745534005
192,93000004,93000004,09,8,93,000004,0,5.638,5.637,5.638,9072.321,4,93,Palm Beach,4,9072.32096375123
193,93000260,93000260,09,2,93,000260,0,0.24,0.247,0.24,397.5495,4,93,Palm Beach,4,397.54952270768
194,93575000,93575000,09,3,93,575000,0,0.421,0.416,0.421,669.9343,4,93,Palm Beach,4,669.934308400745
195,79000134,79000134,09,3,79,000134,0,1.471,1.474,1.471,2372.1331,5,79,Volusia,5,2372.13314067304
196,93000095,93000095,09,4,93,000095,0,1.687,1.696,1.687,2730.0832,4,93,Palm Beach,4,2730.08316317831
197,90540017,90540017,09,1,90,540017,0,0.145,0.1439,0.145,231.5894,6,90,Monroe,6,231.589408830644
198,90540018,90540018,09,1,90,540018,0,0.149,0.1486,0.149,239.0939,6,90,Monroe,6,239.09393421559
199,90540020,90540020,09,1,90,540020,0,0.145,0.144,0.145,231.7874,6,90,Monroe,6,231.787447289054
200,90540016,90540016,09,1,90,540016,0,0.164,0.1615,0.164,259.9161,6,90,Monroe,6,259.916109510304
201,90610019,90610019,09,1,90,610019,0,0.169,0.1659,0.169,266.9111,6,90,Monroe,6,266.91110342464
202,90610021,90610021,09,1,90,610021,0,0.186,0.1861,0.186,299.4968,6,90,Monroe,6,299.496847280987
203,90610022,90610022,09,1,90,610022,0,0.148,0.1476,0.148,237.5893,6,90,Monroe,6,237.58929377007
204,90610023,90610023,09,1,90,610023,0,0.111,0.1109,0.111,178.4219,6,90,Monroe,6,178.42186321846
205,36000050,36000050,09,11,36,000050,0,1.698,1.7,1.698,2736.0255,5,36,Marion,5,2736.02545104928
206,90610013,90610013,09,1,90,610013,0,0.122,0.121,0.122,194.7852,6,90,Monroe,6,194.785216145382
207,90610030,90610030,09,1,90,610030,0,0.442,0.4412,0.442,710.0224,6,90,Monroe,6,710.022381912319
208,90560025,90560025,09,2,90,560025,0,0.35,0.3351,0.35,539.2635,6,90,Monroe,6,539.263501639503
209,36000113,36000113,09,2,36,000113,0,0.501,0.506,0.501,814.5463,5,36,Marion,5,814.546259012122
210,90590004,90590004,09,1,90,590004,0,0.415,0.4078,0.415,656.349,6,90,Monroe,6,656.348955629808
211,90610017,90610017,09,1,90,610017,0,0.189,0.1887,0.189,303.6479,6,90,Monroe,6,303.647916305933
212,90590002,90590002,09,2,90,590002,0,0.157,0.1551,0.157,249.612,6,90,Monroe,6,249.612022940813
213,90550044,90550044,09,3,90,550044,0,0.153,0.151,0.153,243.0209,6,90,Monroe,6,243.02091943773
214,90550045,90550045,09,1,90,550045,0,0.041,0.0404,0.041,65.0004,6,90,Monroe,6,65.0003999974579
215,90550046,90550046,09,1,90,550046,0,0.271,0.2698,0.271,434.2569,6,90,Monroe,6,434.256855695221
216,93000134,93000134,09,1,93,000134,0,0.18,0.189,0.18,303.9187,4,93,Palm Beach,4,303.918658109353
217,36600000,36600000,09,30,36,600000,0,16.169,16.168,16.169,26020.2189,5,36,Marion,5,26020.2188817114
218,75008062,75008062,07,1,75,008062,0,0.288,0.288,0.288,462.7354,5,75,Orange,5,462.735437690994
219,75008061,75008061,07,2,75,008061,0,0.282,0.282,0.282,454.1119,5,75,Orange,5,454.111944851024
220,36080000,36080000,02,28,36,080000,0,32.206,32.153,32.206,51745.3804,5,36,Marion,5,51745.3804139927
221,90000535,90000535,09,2,90,000535,0,0.483,0.483,0.483,777.0225,6,90,Monroe,6,777.022478523842
222,10075056,10075056,07,2,10,075056,0,0.521,0.522,0.521,840.1604,7,10,Hillsborough,7,840.160369570195
223,75300032,75300032,07,1,75,300032,0,1.311,1.311,1.311,2110.0278,5,75,Orange,5,2110.02783896812
224,90590001,90590001,09,2,90,590001,0,0.121,0.1118,0.121,179.9999,6,90,Monroe,6,179.999863717926
225,75008088,75008088,07,2,75,008088,0,0.523,0.523,0.523,842.4521,5,75,Orange,5,842.452134027962
226,75008087,75008087,07,1,75,008087,0,0.502,0.502,0.502,808.5593,5,75,Orange,5,808.55932558737
227,75300034,75300034,07,1,75,300034,0,0.268,0.268,0.268,431.9216,5,75,Orange,5,431.921552912232
228,36620500,36620500,09,4,36,620500,0,2.3,2.288,2.3,3682.4628,5,36,Marion,5,3682.46280572396
229,90500017,90500017,09,2,90,500017,0,0.179,0.1789,0.179,287.9204,6,90,Monroe,6,287.920381473793
230,75300010,75300010,07,2,75,300010,0,0.252,0.252,0.252,405.5519,5,75,Orange,5,405.551938656572
231,75008038,75008038,07,2,75,008038,0,0.147,0.147,0.147,236.051,5,75,Orange,5,236.050977622717
232,36000122,36000122,09,1,36,000122,0,0.507,0.496,0.507,797.609,5,36,Marion,5,797.60897280218
233,14000072,14000072,09,2,14,000072,0,2.503,2.499,2.503,4022.1083,7,14,Pasco,7,4022.10827847116
234,36000115,36000115,09,2,36,000115,0,0.864,0.864,0.864,1390.377,5,36,Marion,5,1390.37696031842
235,15900006,15900006,16,2,15,900006,0,0.59,0.59,0.59,949.8319,7,15,Pinellas,7,949.831942838834
236,56000008,56000008,09,2,56,000008,0,9.693,9.691,9.693,15596.6382,3,56,Liberty,3,15596.6382435653
237,56000010,56000010,09,1,56,000010,0,12.264,12.28,12.264,19761.9446,3,56,Liberty,3,19761.9445932573
238,79000731,79000731,09,5,79,000731,0,1.474,1.473,1.474,2369.9535,5,79,Volusia,5,2369.95345452966
239,70000070,70000070,09,1,70,000070,0,0.442,0.44,0.442,708.8616,5,70,Brevard,5,708.861576496621
240,91470800,91470800,10,3,91,470800,0,7.485,7.485,7.485,12045.5149,1,91,Okeechobee,8,12045.5148620226
